idx,city,country,iso3,capital,lat,lng,admin_name,population
6530,Chilliwack,Canada,CAN,,49.1577,-121.9509,British Columbia,93203.0
6531,Santa Cruz Xoxocotlán,Mexico,MEX,,17.0264,-96.7333,Oaxaca,93188.0
6532,Lemery,Philippines,PHL,,13.92,120.88,Batangas,93186.0
6533,Indanan,Philippines,PHL,,6.0,120.97,Sulu,93168.0
6534,Santa Fe,United States,USA,admin,35.6619,-105.9819,New Mexico,93165.0
6535,Râmnicu Vâlcea,Romania,ROU,admin,45.1047,24.3756,Vâlcea,93151.0
6536,Fenggang,China,CHN,,23.6283,116.5718,Guangdong,93148.0
6537,Tual,Indonesia,IDN,,-5.6368,132.7508,Maluku,93145.0
6538,Plantation,United States,USA,,26.1259,-80.2617,Florida,93130.0
6539,Galle,Sri Lanka,LKA,admin,6.0328,80.2156,Southern,93118.0
6540,Mayagüez,Puerto Rico,PRI,,18.2003,-67.1397,Puerto Rico,93079.0
6541,Itajubá,Brazil,BRA,,-22.4258,-45.4528,Minas Gerais,93073.0
6542,Kwekwe,Zimbabwe,ZWE,,-18.9167,29.8167,Midlands,93072.0
6543,Glazov,Russia,RUS,minor,58.1333,52.6667,Udmurtiya,93056.0
6544,Darlington,United Kingdom,GBR,,54.527,-1.5526,Darlington,93015.0
6545,New Braunfels,United States,USA,,29.6994,-98.1148,Texas,92993.0
6546,Sidi Slimane,Morocco,MAR,,34.26,-5.92,Rabat-Salé-Kénitra,92989.0
6547,Créteil,France,FRA,minor,48.7911,2.4628,Île-de-France,92989.0
6548,La Marsa,Tunisia,TUN,,36.8764,10.3253,Tunis,92987.0
6549,Ubatuba,Brazil,BRA,,-23.4394,-45.07,São Paulo,92980.0
6550,Ciudad General Belgrano,Argentina,ARG,,-34.7167,-58.5333,Buenos Aires,92957.0
6551,Rafaela,Argentina,ARG,minor,-31.2667,-61.4833,Santa Fe,92945.0
6552,Wukari,Nigeria,NGA,minor,7.8704,9.78,Taraba,92933.0
6553,Guaíba,Brazil,BRA,,-30.1183,-51.3214,Rio Grande do Sul,92924.0
6554,Barra do Piraí,Brazil,BRA,,-22.47,-43.8258,Rio de Janeiro,92883.0
6555,Palimbang,Philippines,PHL,,6.22,124.2,Sultan Kudarat,92828.0
6556,Nisshin,Japan,JPN,,35.132,137.0394,Aichi,92823.0
6557,Hanamaki Onsen,Japan,JPN,,39.3886,141.1169,Iwate,92815.0
6558,Tübingen,Germany,DEU,minor,48.52,9.0556,Baden-Württemberg,92811.0
6559,Boundiali,Côte d’Ivoire,CIV,minor,9.5167,-6.4833,Savanes,92792.0
6560,La Reina,Chile,CHL,,-33.45,-70.55,Región Metropolitana,92787.0
6561,Magadan,Russia,RUS,admin,59.5667,150.8,Magadanskaya Oblast’,92782.0
6562,Roswell,United States,USA,,34.0391,-84.3513,Georgia,92770.0
6563,Wimbledon,United Kingdom,GBR,,51.422,-0.208,Merton,92765.0
6564,San Sebastián de los Reyes,Spain,ESP,,40.5469,-3.6258,Madrid,92734.0
6565,Tatvan,Turkey,TUR,minor,38.5022,42.2814,Bitlis,92695.0
6566,Kadugli,Sudan,SDN,admin,11.0167,29.7167,South Kordofan,92674.0
6567,Akot,India,IND,,21.1,77.06,Mahārāshtra,92637.0
6568,Tamanrasset,Algeria,DZA,admin,22.7889,5.5256,Tamanrasset,92635.0
6569,Helmond,Netherlands,NLD,minor,51.4833,5.65,Noord-Brabant,92627.0
6570,Inagi,Japan,JPN,,35.6379,139.5046,Tōkyō,92604.0
6571,Solikamsk,Russia,RUS,,59.6433,56.75,Permskiy Kray,92602.0
6572,Mtwara,Tanzania,TZA,admin,-10.2736,40.1828,Mtwara,92602.0
6573,Rongwo,China,CHN,minor,35.5161,102.0183,Qinghai,92601.0
6574,Sablayan,Philippines,PHL,,12.8428,120.775,Occidental Mindoro,92598.0
6575,Azua,Dominican Republic,DOM,minor,18.46,-70.74,Valdesia,92585.0
6576,Naju,"Korea, South",KOR,minor,35.0333,126.7167,Jeonnam,92582.0
6577,Mogi Mirim,Brazil,BRA,,-22.4319,-46.9578,São Paulo,92559.0
6578,Flensburg,Germany,DEU,minor,54.7819,9.4367,Schleswig-Holstein,92550.0
6579,Iserlohn,Germany,DEU,,51.3833,7.6667,North Rhine-Westphalia,92540.0
6580,São João da Boa Vista,Brazil,BRA,,-21.9692,-46.7981,São Paulo,92535.0
6581,Oss,Netherlands,NLD,minor,51.7667,5.5167,Noord-Brabant,92526.0
6582,Conroe,United States,USA,,30.3238,-95.4824,Texas,92475.0
6583,Barletta,Italy,ITA,minor,41.3167,16.2833,Puglia,92427.0
